user_id,meal_id
108618,1663
110536,1254
104197,1798
107151,1948
106773,1179
100764,1411
106450,1497
106253,1239
108903,1148
105490,1384
105276,1044
108826,1165
107528,1713
109474,1569
107766,1667
102254,1958
103624,1592
105160,1937
109744,1164
108951,1729
107040,1270
101067,1732
107077,1657
110138,1277
108300,1904
109732,1031
106533,1148
100290,1011
103710,1405
100589,1750
111429,1452
111489,1896
111368,1848
103473,1518
103920,1364
107249,1277
101131,1796
109596,1923
102649,1670
105023,1208
111792,1886
102918,1279
104910,1578
103981,1014
103826,1021
104721,1064
102420,1421
110488,1731
108099,1017
105350,1007
111993,1497
104482,1066
101431,1019
101748,1362
105864,1306
109483,1763
110352,1985
111689,1610
104811,1981
101377,1171
101661,1516
103604,1265
103514,1511
101042,1961
109734,1857
111024,1367
110377,1267
103145,1827
108464,1051
102081,1045
110081,1212
103099,1681
103645,1743
102672,1321
107587,1331
100149,1128
100777,1850
110695,1966
110121,1009
100961,1078
105026,1854
101425,1569
102494,1508
105899,1751
109394,1268
106675,1771
102857,1151
108449,1464
104554,1984
102028,1772
103042,1376
108068,1950
107603,1276
106537,1633
104080,1043
100205,1239
109847,1306
109421,1688
103162,1899
110407,1126
102020,1501
101694,1421
103602,1743
100485,1865
110780,1713
108452,1744
103730,1537
111063,1347
109030,1240
100083,1681
109710,1445
105805,1525
111421,1931
108293,1142
108771,1081
102871,1359
105395,1014
101223,1248
107017,1355
109255,1962
102564,1502
111463,1120
100613,1024
104946,1354
103042,1063
100759,1703
110619,1099
102058,1588
106046,1485
103636,1294
105420,1684
111626,1405
106347,1168
109584,1150
104034,1568
107859,1593
106246,1955
101412,1670
108479,1630
104897,1652
104011,1179
100503,1981
110867,1537
105803,1359
101128,1220
105736,1440
108125,1193
103625,1130
104313,1862
103396,1729
110738,1065
110716,1431
100244,1523
103512,1182
105791,1667
108459,1167
105599,1893
101981,1508
105790,1146
108097,1222
100255,1420
111124,1713
108498,1297
101193,1632
106223,1268
102806,1160
104618,1546
107425,1617
103478,1230
106422,1783
109725,1376
102095,1125
110562,1509
100504,1615
106897,1855
101944,1118
101303,1092
105453,1697
111403,1294
101442,1854
107653,1983
105080,1374
100807,1981
106409,1983
110722,1570
106677,1467
105033,1012
104298,1349
106565,1317
105287,1989
101328,1097
104963,1744
105045,1285
101006,1034
103963,1474
100829,1509
106625,1370
109231,1251
107258,1587
111117,1366
100888,1072
110529,1707
111787,1913
102227,1078
102751,1885
105603,1927
111506,1187
104325,1144
106595,1062
107238,1112
102152,1058
102338,1342
101260,1174
108660,1595
107198,1475
104610,1496
109181,1483
103646,1017
100182,1659
101108,1763
106705,1556
110968,1902
106510,1391
108936,1073
111595,1413
105918,1395
102655,1008
110810,1199
109502,1742
100313,1473
106795,1945
111144,1542
104598,1663
105415,1743
106513,1473
107289,1335
111329,1150
108510,1940
103727,1296
109582,1638
105888,1550
105695,1982
106325,1733
110454,1787
110042,1637
102071,1054
105827,1299
102794,1432
106508,1475
111783,1550
110962,1279
105682,1946
111241,1563
110959,1770
110015,1132
100612,1373
102466,1073
103122,1474
111119,1533
111736,1424
105384,1556
100189,1447
104127,1511
100925,1710
106117,1355
102123,1043
102165,1991
102106,1062
100255,1332
111939,1779
109156,1489
105605,1545
101579,1091
103138,1721
102980,1238
106038,1232
109536,1857
102337,1862
106878,1547
103484,1328
103438,1688
101778,1201
108440,1398
101482,1621
103956,1480
108069,1323
111045,1947
104063,1327
110078,1022
111253,1289
107302,1676
105828,1620
101111,1758
102501,1785
109146,1700
107678,1571
111223,1669
104451,1874
102088,1878
105921,1624
101231,1358
106374,1920
101098,1463
106035,1845
101540,1291
109735,1124
106646,1314
109092,1353
102927,1876
103704,1830
103370,1496
104715,1276
104671,1576
110276,1508
101329,1594
111013,1656
100371,1345
100566,1729
108022,1893
102486,1231
101688,1955
102180,1195
103127,1841
106718,1139
106212,1252
107058,1830
100171,1763
108251,1160
100807,1813
104392,1691
105891,1240
101885,1001
102580,1273
101078,1525
103053,1872
102245,1459
105064,1268
110615,1991
108657,1357
104689,1252
102783,1992
111554,1022
109828,1068
109792,1609
109608,1951
111395,1026
111995,1371
103906,1301
108114,1564
111891,1344
110428,1046
111437,1057
108159,1271
102255,1769
109698,1409
102272,1345
101345,1984
110322,1632
104679,1044
107087,1985
100291,1418
111798,1880
103899,1753
103811,1508
104277,1480
103023,1576
108816,1184
103728,1987
106057,1448
107638,1494
104692,1975
107180,1695
105788,1545
101651,1890
111852,1084
110251,1923
108154,1748
104642,1048
105735,1369
106220,1213
101749,1573
107266,1991
107883,1168
105646,1636
102481,1469
100164,1166
111725,1924
109395,1296
111650,1384
110227,1530
104521,1237
107328,1416
111636,1478
105758,1485
110646,1528
105477,1414
109525,1255
109965,1339
107010,1675
110503,1660
109337,1104
108688,1080
108342,1967
101698,1667
101462,1992
104501,1108
110547,1131
102504,1602
101430,1146
106517,1533
101362,1688
101248,1026
105757,1641
101779,1173
107350,1719
109754,1416
108540,1841
103281,1759
109708,1089
109299,1499
103892,1557
102331,1393
101955,1126
110390,1115
104986,1750
106731,1393
106557,1240
102134,1391
110469,1806
104216,1024
106795,1528
106062,1577
102596,1414
107224,1358
102125,1397
110281,1826
110560,1889
106089,1665
111873,1697
101157,1374
110584,1586
107637,1848
109319,1880
109135,1102
104762,1444
107805,1942
102947,1297
105610,1596
108109,1034
109517,1931
108130,1302
105622,1009
100602,1495
101100,1255
110461,1981
108719,1563
101786,1698
110300,1845
106653,1912
101052,1096
109490,1831
101365,1860
102656,1933
100173,1889
103251,1078
111804,1574
109129,1912
101124,1055
103688,1480
100746,1156
104549,1156
104992,1041
103026,1040
102514,1644
111576,1207
107106,1067
107725,1863
101115,1644
102588,1101
101544,1744
105258,1842
102319,1649
103265,1097
102615,1763
111414,1001
102507,1481
109527,1623
102858,1745
100814,1434
103907,1788
110203,1595
109374,1251
107718,1265
109677,1184
103474,1648
107743,1439
111575,1730
108518,1966
107122,1377
102575,1938
108319,1245
111151,1587
100129,1342
102891,1381
105612,1298
107090,1774
106810,1481
106230,1945
109668,1195
111292,1086
108386,1516
102021,1368
109543,1893
104717,1814
106009,1412
107920,1370
105134,1762
103581,1752
105800,1590
104437,1228
101725,1310
111967,1609
111670,1016
102090,1351
107541,1867
101979,1031
111410,1265
110733,1547
110998,1859
105096,1152
101388,1577
108678,1723
108357,1366
109254,1727
101190,1965
100772,1780
106999,1042
105656,1005
109071,1784
101579,1029
109602,1563
106475,1563
109869,1503
109805,1961
100635,1798
101126,1924
100273,1802
101379,1834
102829,1367
102796,1687
110395,1904
105203,1875
105906,1745
102126,1886
102646,1966
111840,1914
107487,1786
109965,1160
110813,1810
106956,1012
103501,1081
105169,1846
103328,1506
107419,1060
101835,1394
109691,1343
107451,1523
109851,1115
102284,1937
101127,1183
102706,1625
100742,1128
101025,1679
111583,1521
103259,1092
105236,1107
108706,1246
106577,1419
106177,1951
108693,1367
100860,1676
108314,1625
110597,1720
106370,1033
110185,1639
108103,1958
100068,1374
108350,1333
109450,1331
106674,1350
100089,1329
103686,1111
104682,1103
100989,1802
105239,1137
104577,1576
107302,1328
102581,1023
101802,1391
106803,1968
106469,1864
104316,1618
100541,1442
107444,1550
103948,1341
105256,1863
110720,1818
110140,1182
101439,1345
109167,1726
100972,1959
111478,1419
110672,1478
105874,1812
102075,1901
106916,1409
110323,1413
111787,1256
102279,1784
104976,1429
101301,1588
111310,1811
107772,1182
103694,1133
108733,1256
104426,1871
110329,1574
110780,1370
102815,1616
107215,1058
111578,1809
104917,1517
111766,1742
110667,1768
102304,1764
102132,1690
